,id,question,answers
35,train_q39,How Might An Employer Find Out About An Applicant Even Before The Interview? ,"{'resume': 31, 'internet': 21}"
36,train_q40,How Many Credit Cards Does The Average Person Have. ,"{'3': 34, '5': 22}"
37,train_q41,How Can You Tell That Your Neighbors Are Out-Of-Town ,"{'lights off': 42, 'newspaper': 25}"
38,train_q42,How many generations of your family have lived in the United States? ,"{'three': 18, 'six': 17, 'four': 15, 'two': 13, 'five': 12, 'ten': 8}"
39,train_q44,If You Ordered A Pizza With The Works Name A Topping That Youd Expect,"{'pepperoni': 33, 'onions': 27, 'mushrooms': 14, 'sausage': 10, 'olives': 6, 'anchovies': 3, 'peppers': 3}"
40,train_q45,In Minutes How Long Is Your Commute To Work,"{'5': 6, '10': 13, '15': 19, '20': 17, '30': 29, '45': 5, '60': 7}"
41,train_q46,"Instead Of A Horse, Which Animal Is It Hard To Imagine A Cowboy Riding? ","{'cow': 39, 'dog': 22, 'pig': 12, 'donkey': 10, 'elephant': 7, 'camel': 4}"
42,train_q47,If You Sent A Postcard From China What Would Be Pictured On The Front,"{'great wall': 54, 'panda': 19, 'dragon': 13, 'temple': 4}"
43,train_q48,"If You Were Offered A Magic Carpet Ride, Name Something You’d Want To Add To It To Make Your Trip More Comfortable. ","{'seat cushion': 53, 'refreshments': 15, 'safety belt': 11, 'tv': 7, 'blanket': 5, 'bathroom': 4}"
44,train_q49,If Men Carried Purses Name Something Youd Find Inside Them,"{'wallet money': 34, 'cell phone': 20, 'cigarettes': 17, 'keys': 15, 'tools': 12}"
45,train_q50,"If Peter Pan Had A Phone, Name Someone He’d Probably Have On Speed Dial. ","{'tinker bell': 55, 'wendy': 34, 'captain hook': 6, 'lost boys': 3, 'croc': 2}"
46,train_q51,"If Your Cat Learned To Speak, Name Something It Would Ask For ","{'food milk': 43, 'pets scratches': 25, 'clean litterbox': 10, 'catnip': 7, 'attention': 4}"
47,train_q52,"If You Were Dating A Real Knight In Shining Armor, Name Something You’d Have Difficulty Doing Together. ","{'kissing snuggling': 47, 'walking': 19, 'dancing': 14, 'eating': 14}"
48,train_q54,Instead Of A Schoolbus How Might A Wealthy Kid Get To School,"{'limo': 48, 'their own car': 42, 'taxi': 6, 'helicopter': 3}"
49,train_q55,"If Adults Trick Or Treated, What Might They Request Instead Of Candy? ","{'money': 74, 'alcohol': 17, 'cigarettes': 4}"
50,train_q56,"In Action Movies, Name Something The Hero Is Always Trying To Get His Hands On. ","{'money': 33, 'leading lady': 28, 'gun': 20, 'bad guy': 15}"
51,train_q57,"If There Was No Speed Limit, How Fast Would You Drive On The Way To Work each Morning (Round To Ten)? ","{'100mph': 30, '80 mph': 29, '70 mph': 19, '90 mph': 11, '60 mph': 8}"
52,train_q58,If All Else Fails Name Something People Get For Dad For The Holidays,"{'tie': 48, 'tools': 13, 'socks': 12, 'money': 12, 'cologne': 4, 'shirt': 4, 'watch': 2}"
53,train_q59,"In a large family,what often gets mixed up with that of your siblings? ","{'laundry': 48, 'names': 21, 'toys': 11, 'birthdays': 9, 'food': 7, 'toothbrush': 3}"
54,train_q60,"In A Conversation With The World’s Most Boring Person, Name A Subject That Would Surely Come Up. ","{'politics': 32, 'weather': 27, 'books': 17, 'work': 13}"
55,train_q61,"If You Wanted To Impersonate Mary Poppins, What Would You Do? ","{'flying umbrella': 44, 'sing': 23, 'dance': 8, 'spoonful of sugar': 7, 'british accent': 6, 'babysit': 4}"
56,train_q62,If You Were Out Of Town And Forgot To Pack A Change Of Clothes What Would You Do,"{'buy some': 50, 'borrow clothes': 20, 'wash clothes': 18, 'wear dirty clothes': 5}"
57,train_q64,"If You’re Going To Do Your Own Taxes, Name Something You Probably Need ","{'computer calculator': 41, 'forms': 25, 'records': 21, 'pencil': 8}"
58,train_q65,If You Met The Real Life Prince Charming How Would You Know It Was Him,"{'wears a crown': 38, 'rides white horse': 25, 'good looking': 14, 'magical kiss': 12}"
59,train_q66,In Which Profession Would It Be Easiest To Get Away With Wearing Sweat Pants? ,"{'gym teacher coach': 51, 'personal trainer': 39, 'janitor': 3, 'babysitter': 3}"
60,train_q67,If An Alien Landed At Christmas Time Name A Christmas Tradition That Would Be Hard To Explain,"{'santa': 38, 'wrap exchange gifts': 22, 'tree in house': 20, 'caroling': 8, 'kiss under mistletoe': 7}"
61,train_q68,"If You Could Have A Movie Star Narrate Your Life, Whose Voice Would You Choose? ","{'morgan freeman': 25, 'james earl jones': 24, 'brad pitt': 13, 'julia roberts': 11, 'sean connery': 10, 'denzil washington': 9, 'robert redford': 0}"
62,train_q69,"If There Was An Award For “Loudest In The Zoo,” Which Animal Would Win It? ","{'lion': 41, 'elephant': 34, 'monkey': 19}"
63,train_q70,"If You Were Going To Be A Contestant On Jeopardy, Name A Specific Subject Area You’d Want To Memorize Beforehand. ","{'history': 46, 'geography': 24, 'movies': 11, 'current events': 10, 'the bible': 3}"
64,train_q71,If You Could Describe Yourself As A Shape Name The Shape You Would Be,"{'triangle': 33, 'circle': 22, 'square': 14, 'oval': 9, 'rectangle': 9, 'diamond': 4, 'star': 3}"
65,train_q72,"If you could not live in the US, which country would you want to live in? ","{'australia': 40, 'canada': 10, 'france': 10, 'united kingdom': 5, 'germany': 4}"
66,train_q74,"If A Man Goes By The Name “Al,” What Might It Be Short For? ","{'albert': 48, 'alan': 20}"
67,train_q75,"If you were going on a diet tomorrow, what food would you be shoving in your mouth today? ","{'pizza': 23, 'icecream': 18, 'chocolate': 16, 'candy': 7, 'steak': 4}"
68,train_q76,"If you could afford it, name a kind of car you would be driving. ","{'mercedes': 20, 'lexus': 12, 'jaguar': 10, 'cadillac': 9, 'bmw': 9}"
69,train_q77,"If You Turned Into A Kangaroo, Name Something You’d Have To Get Used To. ","{'hopping': 54, 'large tail': 3}"
70,train_q78,"If you couldn't live in the U.S., what country would you choose to live in? ","{'canada': 22, 'england': 12, 'ireland': 10, 'spain': 8, 'australia': 8}"
71,train_q79,"If you were literally in the doghouse for the night, name something you'd like in there with you. ","{'blanket pillow': 30, 'tv': 24, 'significant other': 12, 'food water': 10, 'book bible': 5, 'dog': 5}"
72,train_q80,"If A Bachelor Had To Suddenly Take Care Of A Baby, Name Something He’d Have To Learn How To Do Fast. ","{'change diapers': 87, 'feed': 8}"
73,train_q81,"If you were driving someone else's car, name something that would be hard to get used to. ","{'seat': 44, 'brakes': 19, 'steering wheel': 11, 'mirrors': 10, 'stick shift': 8, 'stereo': 5}"
74,train_q82,"If you were a stand-up comedian, who would you not want to have in your audience? ","{'heckler': 36, 'parents': 31, 'children': 12, 'another comedian': 11, 'spouse': 6}"
75,train_q84,Instead of a person name something a child talks to. ,"{'doll stuffed animal': 43, 'imaginary friend': 28, 'pet': 21, 'god': 3}"
76,train_q85,If you got access to a police car what’s the first thing you’d want to do? ,"{'turn on siren': 51, 'speed': 32, 'turn on lights': 8, 'pull someone over': 7}"
77,train_q86,"If voodoo dolls really worked, name a person from your life you'd stick a pin in from time to time. ","{'an ex': 19, 'spouse': 18, 'boss ex boss': 15, 'sibling': 12, 'the in-laws': 12, 'a friend': 6}"
78,train_q87,"If a matador is too wimpy to fight a bull, name an animal he might fight instead. ","{'cow': 38, 'goat': 12, 'person': 10, 'cat': 6, 'chicken': 6, 'donkey': 5}"
79,train_q88,"In your opinion, what occupation has the most masculine men? ","{'construction': 35, 'pro sports': 20, 'firemen paramedic': 14, 'fitness trainer': 7, 'police officer': 5, 'lifeguard': 5}"
80,train_q89,If they were smart name a place that horror movie characters would stay far away from. ,"{'woods': 29, 'cemetery': 25, 'basement': 23, 'place of worship': 17}"
81,train_q90,In a crowded house name something specific that people have to line up to use. ,"{'toilet': 53, 'shower': 29, 'phone': 13}"
82,train_q91,"If you were dead tired, name something you might forget to do before climbing into bed. ","{'brush teeth': 27, 'clothes': 17, 'prayers': 12, 'lock door': 9, 'turn off light': 9, 'shower': 8}"
83,train_q92,"If a baby was six feet tall, name something you'd have a hard time buying for him. ","{'clothes shoes': 47, 'diapers': 39, 'crib': 10, 'car seat': 2}"
84,train_q94,"In the shower, which part of the body is soaped first? ","{'arms': 21, 'abdomen': 14, 'face': 12, 'chest': 12, 'underarm': 12, 'hands': 10}"
85,train_q95,Love is the right reason to get married. Name one of the wrong reasons. ,"{'money status': 57, 'lust infatuation': 34, 'children pregnant': 5, 'people expect it': 2, 'to spite parents': 2}"
86,train_q96,Many people want to be a Hilton. But name another real family you'd rather join. ,"{'the trumps': 37, 'the gates': 16, 'the osbournes': 11, 'the kennedys': 10, 'the rockefellers': 9, 'the clintons': 3}"
87,train_q97,Men hunt for animals. What do women hunt for? ,"{'men husbands': 68, 'clothes shoes': 13, 'bargains': 12, 'big bank account': 5, 'diamonds jewelry': 2}"
88,train_q98,Name Something You Mix With Water Before Drinking ,"{'kool aid': 39, 'tea': 32, 'juice concentrate': 14, 'coffee': 11}"
89,train_q99,Name Something A Contestant In A Beauty Pageant Might Wear ,"{'bathing suit': 56, 'gown': 39, 'makeup': 2}"
90,train_q100,Name An Accessory That Might Be Sold With A James Bond Action Figure,"{'gun': 44, 'car': 14, 'sunglasses': 11, 'phone': 10, 'clothes': 9, 'watch': 5, 'briefcase': 4}"
91,train_q101,Name Something Specific A Man Often Compliments A Woman On When Trying To Pick Her Up,"{'eyes': 51, 'hair': 29, 'smile': 8, 'clothes': 8, 'body': 3}"
92,train_q102,Name Something That Would Be Hard To Steal From A Hotel Room ,"{'television': 41, 'bed': 37, 'table': 7, 'mini bar': 6, 'couch': 5, 'picture': 4}"
93,train_q104,Name Something You Wouldnt Want Your Kid Bringing Home From School,"{'lice': 31, 'bad grades': 24, 'drugs': 21, 'illness': 7, 'germs': 6}"
94,train_q105,Name Something You Remember About The Tv Show MASH,"{'hot lips': 26, 'hawkeye': 22, 'radar': 16, 'war': 12, 'doctors': 8, 'theme music': 5, 'klinger': 5}"
95,train_q106,Name A Christmas Movie People Are Tired Of. ,"{'a wonderful life': 24, 'white christmas': 22, 'miracle on 34th st': 22, 'home alone': 12, 'nightmare before': 6, 'christmas story': 6}"
96,train_q107,Name A Party Game That You’d Be Surprised To Find At An Adult’s Birthday. ,"{'pin the tail': 54, 'twister': 20, 'spin the bottle': 13, 'musical chairs': 9}"
97,train_q108,Name Something People Cover When It Rains ,"{'head': 28, 'car': 17, 'outdoor furniture': 7, 'pool': 3}"
98,train_q109,Name A Comfort Food That Has Cheese In On It. ,"{'pizza': 47, 'mac and cheese': 21, 'grilled cheese': 10, 'nachos': 9, 'crackers': 9}"
99,train_q110,Name Something A Really Smart Kid Probably Spends His Summer Doing. ,"{'reading': 50, 'study': 17, 'summer school': 15, 'working': 5, 'camp': 5, 'stay on computer': 2}"
100,train_q111,Name a reason a husband might send his wife flowers. ,"{'anniversary': 51, 'apology': 23, 'birthday': 12, ""valentine's day"": 6, ""mother's day"": 4}"
101,train_q112,Name Something People Claim To Have Seen That Others Think is Crazy ,"{'ufo': 38, 'elvis': 21, 'ghost': 15, 'big foot': 12, 'lochness monster': 9, 'angel': 5}"
102,train_q114,Name A City With A Lot Of Pollution ,"{'los angeles': 59, 'new york': 19, 'st. louis': 9, 'cleveland': 5, 'chicago': 3, 'houston': 2, 'detroit': 0}"
103,train_q115,Name a sign your girlfriend might be turning into a mermaid. ,"{'grows tail': 39, 'she swims often': 20, 'getting scales': 15, 'always in water': 12, 'gills': 8}"
104,train_q116,Name something that the human body has more than 2 of. ,"{'digits': 42, 'bones': 21, 'hairs': 19, 'teeth': 15}"
105,train_q117,Name Something That YouD Find More Commonly In France Than In The Us,"{'wine': 52, 'cheese': 19, 'french people': 10, 'art': 8, 'beret': 8}"
106,train_q118,Name Something The President Might Say Is Too Long. ,"{'speeches': 35, 'legislative process': 18, 'wars': 14, 'election process': 14, 'political terms': 8, 'the recession': 5}"
107,train_q119,Name Something You Make For Dinner When You’re Short On Time. ,"{'pizza': 30, 'spaghetti': 20, 'tv dinners': 15, 'hot dogs': 12, 'sandwiches': 10, 'mac and cheese': 6}"
108,train_q120,Name A Job That People Did More 100 Years Ago Than Today. ,"{'farmer': 53, 'blacksmith': 31, 'carpenter': 7, 'miner': 7}"
109,train_q122,Name Something That Might Be Carved Into A Christmas Ice Sculpture. ,"{'angel religious fig.': 39, 'tree': 24, 'santa reindeer': 15, 'penguins animals': 8, 'snowflake': 5}"
110,train_q124,Name Something About You That Has Not Changed As Youve Gotten Older,"{'personality attitude': 41, 'eyes': 34, 'name': 11, 'sense of humor': 6, 'smile': 5}"
111,train_q125,Name An Animal That’s Often Described As “Beautiful.” ,"{'cat': 30, 'deer': 20, 'horse': 19, 'bird': 13, 'lion': 9, 'swan': 3}"
112,train_q126,Name Something More Than Difficult To Do When Driving A Car With Stick Shift ,"{'eat  drink': 52, 'talk on phone': 22, 'smoke': 8, 'change gears': 5, 'stop': 4, 'park': 3, 'steer': 3}"
113,train_q127,Name A Gift That A Very Practical Woman Would Not Be Impressed By Receiving From A Man. ,"{'flowers': 38, 'jewelry': 27, 'perfume': 13, 'candy': 12, 'lingerie': 7}"
114,train_q128,Name A Place Where People Are Asked To Rise ,"{'place of worship': 44, 'court': 30, 'school': 12, 'sporting event': 10, 'wedding': 5}"
115,train_q129,Name A Famous Sight That Tourists Take An Elevator Up To See ,"{'empire state bldg.': 35, 'eiffel tower': 31, 'statue of liberty': 22, 'sears tower': 11}"
116,train_q130,Name Something You Might Stop To Do When Driving Across The Country,"{'eat': 27, 'rest stop': 24, 'fill up gas': 21, 'ask directions': 12, 'take pictures': 12}"
117,train_q131,Name Something You Might See In The Sky That Would Make You Say “Ooooh!” ,"{'fireworks': 31, 'shooting star': 19, 'rainbow': 15, 'hot air balloon': 7, 'airplane': 7, 'blimp': 6, 'dark clouds': 6}"
118,train_q132,Name An Activity Thatd Be Hard To Do By CandleLight,"{'read': 62, 'cook': 21, 'write': 8, 'sew': 6}"
119,train_q134,Name Something You’re Not Supposed To Do While Filling Your Gas Tank. ,"{'smoke': 48, 'talk on cell phone': 24, 'walk away': 15, 'leave the car on': 9}"
120,train_q135,Name Something Naughty That A Grandpa Might Secretly Let His grandson get Away With ,"{'looking at girls': 26, 'sipping beer': 22, 'eating sweets': 21, 'staying up late': 20, 'bad language': 8}"
121,train_q136,Name Something That its Hard To Do While Listening To Music,"{'read': 30, 'have a conversation': 27, 'watch tv': 18, 'study': 11, 'fall asleep': 7, 'concentrate': 3}"
122,train_q137,Name A Reason You Might Be Glad To Put On A Few Pounds ,"{'too thin': 40, 'wrestler athlete': 17, 'been sick': 13, 'pregnant': 12, 'winter keep warm': 9, 'actor movie role': 6}"
123,train_q138,Name A Country That Is Known For Their Beer ,"{'germany': 25, 'ireland': 19, 'usa': 17, 'canada': 14, 'england': 9, 'mexico': 8, 'australia': 6}"
124,train_q139,Name Something People Give As A Housewarming Gift,"{'plant': 27, 'vase with flowers': 19, 'fruit basket': 15, 'linens': 13, 'bottle of wine': 11, 'toaster': 10, 'dishes': 5}"
125,train_q140,Name Something That Would Be Harder To Do If You Lived In Los Angeles. ,"{'drive': 56, 'ski': 29, 'sleep': 7, 'breathe': 6}"
126,train_q141,Name A Word that people Yell At The TV While watching A Football Game ,"{'go': 39, 'run': 25, 'touchdown': 13, 'foul': 5, 'idiot': 3}"
127,train_q142,Name Something A Cowboy Probably Leaves At Home For A Job Interview ,"{'10 gallon hat': 39, 'gun': 25, 'horse': 24, 'boots': 7, 'rope': 3}"
128,train_q144,Name A Song That Has “Christmas” In The Title ,"{'white christmas': 55, 'oh christmas tree': 21, 'wish you merry xmas': 18}"
129,train_q145,Name A Specif Food That Someone With High Cholesterol Might give Up ,"{'eggs': 36, 'butter': 14, 'bacon': 14, 'fired chicken': 12, 'pizza': 11, 'french fries': 10}"
130,train_q146,Name A Piece Of Information You’d Include In A Personals Ad But Not On A Resume. ,"{'age': 57, 'height': 13, 'marital status': 12, 'weight': 11, 'horoscope sign': 4}"
131,train_q147,Name Something People Do At The Dinner Table Even Though Its Considered Bad Manners,"{'burp': 41, 'elbows on table': 32, 'talk with full mouth': 18, 'eat with hands': 3, 'chew with mouth open': 3}"
132,train_q148,Name Something A Shy Man Might Wear To Hide His Face. ,"{'hat headband': 45, 'glasses': 24, 'facial hair': 16, 'scarf': 9, 'hood': 4}"
133,train_q149,Name A Night Of The Week When People Stay Up Later Than Usual. ,"{'friday': 52, 'saturday': 43}"
134,train_q150,Name Something Found In The Garden Of Eden,"{'apple': 68, 'snake': 15, 'tree': 9, 'adam & eve': 7}"
135,train_q151,Name A Reason You May Not Be Able To Get Home For The Holidays ,"{'sick': 17, 'work': 14, 'broke': 12, 'far away': 4, 'car problems': 3, 'too much homework': 2}"
136,train_q152,Name Something A Man Might Do All Day Long If His Wife Let Him ,"{'watch sports': 36, 'watch tv': 25, 'sleep': 23, 'eat': 11}"
137,train_q154,"name something You Hope For, But Can’t Count On, When Going On Vacation ","{'good weather': 62, 'good time': 28, 'plenty of rest': 4, 'tan': 4}"
138,train_q155,Name The Last Country You Would Want To Win A Trip To? ,"{'iraq': 31, 'afghanistan': 19, 'north korea': 16, 'sudan': 9, 'columbia': 8, 'syria': 7, 'haiti': 5}"
139,train_q156,Name A Reason You Might Not Leave The House For An Entire Day. ,"{'sick': 54, 'bad weather': 25, 'cleaning working': 15, 'sports tv': 4}"
140,train_q157,Name Something For Which A Mermaid May Be Jealous Of Barbie. ,"{'legs': 46, 'hair': 21, 'ken': 16, 'wears clothes': 5, 'car': 5, 'lives on land': 3}"
141,train_q158,Name A Place Where You Sit Until Your Name Is Called. ,"{""doctor's office"": 34, 'dmv': 30, 'court': 20, 'classroom': 9, 'restaurant': 5}"
142,train_q159,Name Someone The Groom Might Not Want At His Bachelor Party ,"{'bride': 35, 'ex': 20, 'dancer': 16, 'mom': 13, 'dad': 7, 'father n law': 6}"
143,train_q160,Name A Situation Where You Wouldn’t Want Someone Looking Over Your Shoulder. ,"{'test': 46, 'office': 20, 'in the bedroom': 18, 'atm': 9, 'bathroom': 3}"
144,train_q161,Name the last thing youd want to happen to you in the airport,"{'miss flight': 40, 'lose luggage': 30, 'stopped by security': 14, 'delayed': 12}"
145,train_q162,Name A Shakespeare Play Which Was Made Into A Movie,"{'romeo & juliet': 34, 'hamlet': 24, 'othello': 14, 'macbeth': 9, 'taming of the shrew': 7, 'midsummer nights dream': 5, 'much ado about nothing': 4}"
146,train_q164,Name A Reason Why A Person Might Prefer To Own A Dog Over A Cat,"{'protection': 54, 'loyality': 14, 'cat allergies': 11, 'friendlier': 9, 'playful': 9}"
147,train_q165,Name A Cartoon Character Who Would Never Be Chosen To Narrate A Documentary,"{'porky pig': 17, 'daffy duck': 16, 'bugs bunny': 15, 'donald duck': 14, 'elmer fudd': 12, 'tweety': 11, 'yosemite sam': 10}"
148,train_q166,Name Something You See Trained Monkey’s Doing In Sitcoms And Movies. ,"{'dancing': 38, 'talking': 22, 'eating bananas': 18, 'smoking': 15, 'driving': 5}"
149,train_q167,Name Something Christopher Columbus Might Have Worried About During His Voyage To America,"{'weather': 42, 'running out of food': 16, 'sickness': 15, 'boat sinking': 13, 'getting lost': 8, 'death': 6}"
150,train_q168,Name Something You Need To Grow A Vegetable Garden ,"{'seeds': 41, 'tools': 17, 'dirt': 16, 'water': 10, 'sunlight': 7, 'fertilizer': 5, 'yard': 4}"
151,train_q169,"Name Something You Keep In An Ice Chest. (Food Is Not An Answer, Be More Specific) ","{'soft drinks': 31, 'beer': 27, 'ice': 27, 'water': 4, 'chicken': 2, 'frosty mug for beer': 2}"
152,train_q170,Name A Specific Food That You Eat A Lot Of When You’re On A Diet. ,"{'salad': 58, 'celery': 7, 'oranges': 7, 'carrots': 7, 'apple': 6, 'broccoli': 6}"
153,train_q171,"Name A Piece Of Equipment That Was Once Considered Modern Technology, But Few People Even Own Anymore ","{'vcr': 29, 'typewriter': 25, 'record player': 13, 'radio': 13, 'pader': 11, 'home telephone': 6}"
154,train_q172,"Name an odor that's so distinct, you know right away what it is. ","{'skunk': 25, 'fish': 17, 'fart': 12, 'body odor': 8, 'onion': 5, 'cigarette smoke': 4}"
155,train_q174,Name A Sport In Which The Athletes Don’t Wear A Lot Of Clothes. ,"{'swimming': 52, 'basketball': 20, 'volleyball': 18, 'soccer': 6, 'tennis': 6, 'wrestling': 3, 'boxing': 3}"
156,train_q175,Name The Magazine Cover You’d Most Like To Appear On ,"{'sports illustrated': 38, 'time': 30, 'g.o.': 10, 'vogue': 8, 'rolling stone': 4, 'money': 3}"
157,train_q176,Name A Profession Where You May Receive Lots Of Mail From Strangers. ,"{'celebrity': 51, 'politician': 36, 'customer service': 7, 'advice columnist': 5}"
158,train_q177,Name something men try to cover up. ,"{'affair': 59, 'baldness': 15, 'lies': 8, 'bills money': 8, 'gray hair': 4}"
159,train_q178,Name Something An Elevator Operator Probably Gets Tired Of Saying ,"{'which floor?': 43, 'going up?': 36, 'hello': 14, 'have a nice day': 3}"
160,train_q179,Name Something People Do More Of When They’re Tired ,"{'sleep': 50, 'yawn': 25, 'eat': 9, 'lose temper': 5}"
161,train_q180,Name A Job Which Might Require Someone To Work On Christmas,"{'nurse': 22, 'doctor': 17, 'work in store': 15, 'police': 15, 'santa claus': 8, 'restaurant': 5, 'pilot': 4}"
162,train_q181,Name A Place That Closes Early For A Person To Run Errands After Work. ,"{'bank': 47, 'post office': 33, 'market': 11, 'dry cleaners': 7}"
163,train_q182,Name Something People Put In The Envelope With Their Holiday Cards. ,"{'money': 61, 'pictures': 30, 'gift cards': 4, 'form letter': 3}"
164,train_q184,Name A Shakespeare Character Who Most People Have Heard Of,"{'romeo': 56, 'hamlet': 20, 'juliet': 15, 'macbeth': 3, 'othello': 3}"
165,train_q185,Name A Kids Game A Grown Man Would Look Pretty Silly Playing,"{'hopscotch': 32, 'hide n seek': 17, 'tag': 15, 'twister': 11, 'jump rope': 9, 'musical chairs': 8, 'dress up': 5}"
